epsilon,alpha,mean_cost,mean_iterations,cost_test,iterations_test
0.1,0.05,8624.04695,8.625,998.8583333333333,1
0.1,0.1,4669.940933333334,4.671,998.8583333333333,1
0.1,0.15,8994.933333333332,8.996,113998.85833333334,114
0.2,0.05,10031.04965,10.032,2998.8583333333336,3
0.2,0.1,7707.965908333334,7.709,998.8583333333333,1
0.2,0.15,6242.923225,6.244,998.8583333333333,1
0.3,0.05,10931.052016666668,10.932,3998.8583333333336,4
0.3,0.1,9691.967683333334,9.693,998.8583333333333,1
0.3,0.15,8157.940491666668,8.159,4998.858333333334,5
